x,y
675.0,75.0
1325.0,125.0
1925.0,125.0
2375.0,125.0
3025.0,125.0
3425.0,175.0
3925.0,275.0
125.0,325.0
2725.0,425.0
1175.0,575.0
3575.0,625.0
675.0,675.0
325.0,875.0
2675.0,1075.0
3175.0,1125.0
3775.0,1125.0
75.0,1225.0
1075.0,1325.0
1825.0,1325.0
1475.0,1575.0
2325.0,1575.0
3775.0,1575.0
3375.0,1625.0
125.0,1725.0
1825.0,1875.0
825.0,1925.0
3725.0,2025.0
2525.0,2225.0
3175.0,2225.0
1825.0,2425.0
125.0,2475.0
2875.0,2575.0
3725.0,2575.0
3375.0,2875.0
725.0,2925.0
2425.0,2925.0
125.0,2975.0
1425.0,3125.0
3775.0,3225.0
1025.0,3275.0
3225.0,3425.0
125.0,3475.0
3825.0,3625.0
2175.0,3675.0
725.0,3775.0
225.0,3875.0
1275.0,3875.0
1725.0,3925.0
2875.0,3925.0
3425.0,3925.0
